question,answer,qtype
What is 1803 * 795?,1433385,multiplication
What is 6890 * 494?,3403660,multiplication
What is 4896 * 871?,4264416,multiplication
What is 72763122614 + 18475961309?,91239083923,addition
What is 97806011646 + 78502573178?,176308584824,addition
What is 74572954 - 80745786?,-6172832,subtraction
What is 5618 * 215?,1207870,multiplication
What is 8556 * 504?,4312224,multiplication
What is 5502 * 433?,2382366,multiplication
What is 93408848995 + 67947860806?,161356709801,addition
What is 84048545193 + 49907277894?,133955823087,addition
What is 50541359 - 30451484?,20089875,subtraction
What is 1829 * 598?,1093742,multiplication
What is 8990 * 157?,1411430,multiplication
What is 8723 * 844?,7362212,multiplication
What is 66849795920 + 78227896606?,145077692526,addition
What is 41907337131 + 97362822194?,139270159325,addition
What is 50111873 - 90380900?,-40269027,subtraction
What is 7100 * 799?,5672900,multiplication
What is 7838 * 274?,2147612,multiplication
What is 4274 * 519?,2218206,multiplication
What is 13942338920 + 23886054285?,37828393205,addition
What is 71474405791 + 77028594030?,148502999821,addition
What is 42997838 - 97075874?,-54078036,subtraction
What is 4697 * 392?,1841224,multiplication
