question,answer,qtype
What is 1803 * 795?,1433385,multiplication
What is 6890 * 494?,3403660,multiplication
What is 4896 * 871?,4264416,multiplication
What is 72763122614 + 18475961309?,91239083923,addition
What is 97806011646 + 78502573178?,176308584824,addition
What is 74572954 - 80745786?,-6172832,subtraction
What is 5618 * 215?,1207870,multiplication
What is 8556 * 504?,4312224,multiplication
What is 5502 * 433?,2382366,multiplication
What is 93408848995 + 67947860806?,161356709801,addition
What is 84048545193 + 49907277894?,133955823087,addition
What is 50541359 - 30451484?,20089875,subtraction
What is 1829 * 598?,1093742,multiplication
What is 8990 * 157?,1411430,multiplication
What is 8723 * 844?,7362212,multiplication
What is 66849795920 + 78227896606?,145077692526,addition
What is 41907337131 + 97362822194?,139270159325,addition
What is 50111873 - 90380900?,-40269027,subtraction
What is 7100 * 799?,5672900,multiplication
What is 7838 * 274?,2147612,multiplication
What is 4274 * 519?,2218206,multiplication
What is 13942338920 + 23886054285?,37828393205,addition
What is 71474405791 + 77028594030?,148502999821,addition
What is 42997838 - 97075874?,-54078036,subtraction
What is 4697 * 392?,1841224,multiplication
What is 5981 * 181?,1082561,multiplication
What is 6032 * 814?,4910048,multiplication
What is 12773605111 + 49304565030?,62078170141,addition
What is 29312620553 + 46767577934?,76080198487,addition
What is 37355508 - 99339904?,-61984396,subtraction
What is 8679 * 131?,1136949,multiplication
What is 3105 * 838?,2601990,multiplication
What is 1524 * 869?,1324356,multiplication
What is 36423438198 + 69572486324?,105995924522,addition
What is 60132893710 + 80550838818?,140683732528,addition
What is 35324549 - 99649620?,-64325071,subtraction
What is 6978 * 467?,3258726,multiplication
What is 4657 * 475?,2212075,multiplication
What is 8325 * 388?,3230100,multiplication
What is 12044086582 + 18104307469?,30148394051,addition
What is 75012341552 + 51568950722?,126581292274,addition
What is 25027562 - 74535265?,-49507703,subtraction
What is 2451 * 909?,2227959,multiplication
What is 5508 * 943?,5194044,multiplication
What is 2370 * 547?,1296390,multiplication
What is 50154064801 + 44291910348?,94445975149,addition
What is 37136088023 + 66725433380?,103861521403,addition
What is 72668833 - 64647678?,8021155,subtraction
What is 4255 * 962?,4093310,multiplication
What is 1788 * 407?,727716,multiplication
What is 2061 * 404?,832644,multiplication
What is 91772262162 + 72973642042?,164745904204,addition
What is 33928296531 + 97225873960?,131154170491,addition
What is 96570788 - 33717237?,62853551,subtraction
What is 8007 * 334?,2674338,multiplication
What is 7451 * 809?,6027859,multiplication
What is 5043 * 762?,3842766,multiplication
What is 18675186593 + 91234215688?,109909402281,addition
What is 51019866084 + 28212702831?,79232568915,addition
What is 34501740 - 74945475?,-40443735,subtraction
What is 3753 * 826?,3099978,multiplication
What is 6212 * 591?,3671292,multiplication
What is 2590 * 516?,1336440,multiplication
What is 78266757684 + 74751666034?,153018423718,addition
What is 48888373579 + 66457795662?,115346169241,addition
